"plotid"	"plothalfid1"	"inv"	"year"	"ammonifd_B"	"ammonifd_F"	"ammonifd_T"	"minzd_B"	"minzd_F"	"minzd_T"	"nhi_B"	"nhi_F"	"nhi_T"	"nitrifd_B"	"nitrifd_F"	"nitrifd_T"	"noi_B"	"noi_F"	"noi_T"	"soilmoi_B"	"soilmoi_F"	"soilmoi_T"	"som_B"	"som_F"	"som_T"	"toti_B"	"toti_F"	"toti_T"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"total"	"soilBasin"	"nTrees"	"BA_total"	"PercBA_ECM"
"33"	6	"I_6"	"I"	2013	-0.0141	NA	0.057	0.0779	NA	0.2288	0.925	NA	0.9186	0.0919	NA	0.1718	0.1762	NA	0.4651	11.1111	NA	19.0836	1.6611	NA	4.495	1.1011	NA	1.3838	1.2	23.59	111.12	NA	NA	24.79	1	5	0.1193784438	0
"34"	6	"N_6"	"N"	2011	NA	1e-04	NA	NA	0.0059	NA	NA	0.9177	NA	NA	NA	NA	NA	1e-04	NA	NA	10.3627	NA	NA	2.8902	NA	NA	0.9177	NA	0	0.63	188.8	2.36	11.1	0.63	1	5	0.1193784438	0
"35"	6	"N_6"	"N"	2012	-0.0323	NA	-0.0226	-0.0257	NA	0.0887	1.8004	NA	2.4949	0.0067	NA	0.1113	1.3695	NA	1.8624	4.9618	NA	10.3448	2.008	NA	5.1282	3.1699	NA	4.3573	0	0.08	173.31	1.93	NA	0.08	1	5	0.1193784438	0
"36"	6	"N_6"	"N"	2013	-0.0017	NA	0.0188	0.0542	NA	0.3627	0.7169	NA	0.5682	0.0559	NA	0.3438	0.227	NA	0.7417	9.7963	NA	18.0576	1.3936	NA	4.5265	0.9439	NA	1.3098	0	5.95	152.26	NA	NA	5.95	1	5	0.1193784438	0
"37"	7	"I_7"	"I"	2011	NA	-0.0011	NA	NA	0.0046	NA	NA	0.9436	NA	NA	0.0057	NA	NA	3.253	NA	NA	22.9508	NA	NA	7.4468	NA	NA	4.1967	NA	16.74	2.97	34.95	40.3	11.2	19.71	1	2	0.1869786072	0
"38"	7	"I_7"	"I"	2012	-0.0452	NA	-0.067	0.0341	NA	0.4369	1.5232	NA	2.5031	0.0794	NA	0.5038	3.0603	NA	3.2734	25.7692	NA	31.694	7.2539	NA	10.4	4.5835	NA	5.7765	13.13	16.93	85.17	3.35	NA	30.06	1	2	0.1869786072	0
"39"	7	"I_7"	"I"	2013	-0.1781	NA	-0.1757	0.5173	NA	-0.0467	2.6207	NA	2.7869	0.6954	NA	0.129	1.6632	NA	1.3412	30.2913	NA	45.6259	5.3853	NA	10.4022	4.2839	NA	4.1281	6.65	5.97	0.47	NA	NA	12.62	1	2	0.1869786072	0
"40"	7	"N_7"	"N"	2011	NA	-0.001	NA	NA	0.0094	NA	NA	0.7786	NA	NA	0.0103	NA	NA	2.709	NA	NA	25.8929	NA	NA	8.4337	NA	NA	3.4876	NA	0	5.59	26.15	34.73	11.7	5.59	1	2	0.1869786072	0
"41"	7	"N_7"	"N"	2012	-0.024	NA	-0.1102	0.2196	NA	0.6716	0.8709	NA	3.2656	0.2436	NA	0.7818	3.427	NA	4.1354	26.2963	NA	37.3188	6.0302	NA	10.9827	4.2979	NA	7.401	0	19.05	26.92	5.96	NA	19.05	1	2	0.1869786072	0
"42"	7	"N_7"	"N"	2013	-0.2362	NA	-0.0177	0.3089	NA	1.3092	3.6827	NA	0.6724	0.5452	NA	1.3269	1.5038	NA	2.8603	28.0992	NA	45.9726	4.4444	NA	9.2827	5.1865	NA	3.5328	0	20.57	3.54	NA	NA	20.57	1	2	0.1869786072	0
"43"	8	"I_8"	"I"	2011	NA	-0.0011	NA	NA	0.0033	NA	NA	0.8316	NA	NA	0.0044	NA	NA	1.8716	NA	NA	9.1743	NA	NA	3.0303	NA	NA	2.7033	NA	14.13	0.15	85.99	88.09	12.3	14.28	1	6	0.231665511	94.6176665028054
"44"	8	"I_8"	"I"	2012	-0.0542	NA	-0.0782	0.0106	NA	0.0057	1.8695	NA	2.2785	0.0648	NA	0.0839	1.1235	NA	2.5944	11.9469	NA	14.9502	2.5126	NA	3.9063	2.9931	NA	4.8729	14.97	4.4	66.79	69.5	NA	19.37	1	6	0.231665511	94.6176665028054
"45"	8	"I_8"	"I"	2013	-0.0667	NA	-0.0626	0.3313	NA	0.2742	2.5543	NA	1.95	0.398	NA	0.3368	0.7973	NA	1.0429	10.1279	NA	12.5906	2.5385	NA	4.1451	3.3515	NA	2.9929	11.63	8.73	123.47	NA	NA	20.36	1	6	0.231665511	94.6176665028054
"46"	8	"N_8"	"N"	2011	NA	0.0058	NA	NA	0.0245	NA	NA	1.3479	NA	NA	0.0187	NA	NA	2.8444	NA	NA	11.7021	NA	NA	5.6225	NA	NA	4.1923	NA	0	1.09	221.51	56.72	12.3	1.09	1	6	0.231665511	94.6176665028054
"47"	8	"N_8"	"N"	2012	-0.1035	NA	-0.0603	0.0825	NA	0.0638	2.5607	NA	2.1979	0.186	NA	0.1241	1.7695	NA	2.3899	15.4321	NA	18.8462	5.1095	NA	6.1611	4.3302	NA	4.5878	0.01	0.28	171.84	6.79	NA	0.29	1	6	0.231665511	94.6176665028054
"48"	8	"N_8"	"N"	2013	-0.1045	NA	-0.0648	0.1741	NA	0.4469	1.7677	NA	2.0145	0.2787	NA	0.5117	0.5666	NA	0.8696	12.3267	NA	16.3823	4.0422	NA	6.4898	2.3343	NA	2.8841	0	1.12	163.11	NA	NA	1.12	1	6	0.231665511	94.6176665028054
"49"	9	"I_9"	"I"	2011	NA	-9e-04	NA	NA	0.007	NA	NA	0.7453	NA	NA	0.008	NA	NA	0.8354	NA	NA	11.2245	NA	NA	4.5977	NA	NA	1.5807	NA	14.45	0	72.55	3.57	12.7	14.45	1	4	0.6801100614	0
