"year"	"plothalfid"	"plotid"	"site"	"rep"	"inv"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"plotname"	"plothalfname"	"yrplotname"	"yrplothalfname"	"total"
"2012"	"22"	"11"	"G48"	"C"	"N"	0	15.76	105.42	14.82	NA	"G48_C"	"G48_C_N"	"2012_G48_C"	"2012_G48_C_N"	15.76
"2012"	"23"	"12"	"G48"	"D"	"I"	88.37	39.2	73.69	70.51	NA	"G48_D"	"G48_D_I"	"2012_G48_D"	"2012_G48_D_I"	127.57
"2012"	"24"	"12"	"G48"	"D"	"N"	0	25.57	63.83	86.29	NA	"G48_D"	"G48_D_N"	"2012_G48_D"	"2012_G48_D_N"	25.57
"2012"	"25"	"13"	"G13"	"A"	"I"	1.59	2.04	172.45	8.36	NA	"G13_A"	"G13_A_I"	"2012_G13_A"	"2012_G13_A_I"	3.63
"2012"	"26"	"13"	"G13"	"A"	"N"	0	6.04	225.09	5.89	NA	"G13_A"	"G13_A_N"	"2012_G13_A"	"2012_G13_A_N"	6.04
"2012"	"27"	"14"	"G13"	"B"	"I"	4.41	0.93	91.77	3.71	NA	"G13_B"	"G13_B_I"	"2012_G13_B"	"2012_G13_B_I"	5.34
"2012"	"28"	"14"	"G13"	"B"	"N"	0	0.37	131.67	3.68	NA	"G13_B"	"G13_B_N"	"2012_G13_B"	"2012_G13_B_N"	0.37
"2012"	"29"	"15"	"G13"	"C"	"I"	69.76	9.43	70.7	82.59	NA	"G13_C"	"G13_C_I"	"2012_G13_C"	"2012_G13_C_I"	79.19
"2012"	"30"	"15"	"G13"	"C"	"N"	0.11	28.08	29.27	97.99	NA	"G13_C"	"G13_C_N"	"2012_G13_C"	"2012_G13_C_N"	28.19
"2012"	"31"	"16"	"G13"	"D"	"I"	4.77	1.19	101.72	2.59	NA	"G13_D"	"G13_D_I"	"2012_G13_D"	"2012_G13_D_I"	5.96
"2012"	"32"	"16"	"G13"	"D"	"N"	0	0.08	136.07	2.88	NA	"G13_D"	"G13_D_N"	"2012_G13_D"	"2012_G13_D_N"	0.08
"2012"	"33"	"17"	"K7"	"A"	"I"	20.88	0.63	123.08	8.29	NA	"K7_A"	"K7_A_I"	"2012_K7_A"	"2012_K7_A_I"	21.51
"2012"	"34"	"17"	"K7"	"A"	"N"	0	0.19	190.19	5.7	NA	"K7_A"	"K7_A_N"	"2012_K7_A"	"2012_K7_A_N"	0.19
"2012"	"35"	"18"	"K7"	"B"	"I"	0.7	0.32	182.59	2.24	NA	"K7_B"	"K7_B_I"	"2012_K7_B"	"2012_K7_B_I"	1.02
"2012"	"36"	"18"	"K7"	"B"	"N"	0	0	396.93	1.72	NA	"K7_B"	"K7_B_N"	"2012_K7_B"	"2012_K7_B_N"	0
"2013"	"1"	"1"	"G2"	"A"	"I"	15.65	24.91	28.78	68.67	NA	"G2_A"	"G2_A_I"	"2013_G2_A"	"2013_G2_A_I"	40.56
"2013"	"2"	"1"	"G2"	"A"	"N"	0	8.5	89.35	79.63	NA	"G2_A"	"G2_A_N"	"2013_G2_A"	"2013_G2_A_N"	8.5
"2013"	"3"	"2"	"G2"	"B"	"I"	9.64	4.72	63.8	6.48	NA	"G2_B"	"G2_B_I"	"2013_G2_B"	"2013_G2_B_I"	14.36
"2013"	"4"	"2"	"G2"	"B"	"N"	0	13.93	171.01	7.87	NA	"G2_B"	"G2_B_N"	"2013_G2_B"	"2013_G2_B_N"	13.93
