depth	batch	plothalfid	nhi	noi	toti	nhf	nof	totf	incubation_start	incubation_end	incubation_hrs	incubation_days
b	1 redo	1	1.261016774	0.573964075	1.834980848	10.10639749	0.462849053	10.56924655	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	2	1.008268438	BD	1.008268438	0.57042107	2.84405202	3.41447309	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	3	1.635159028	0.669668397	2.304827426	3.903037015	1.866730924	5.769767939	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	4	1.349998485	0.5833344	1.933332885	3.479588012	1.081751408	4.56133942	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	5	1.691686775	1.003362937	2.695049712	3.136752538	2.087203579	5.223956116	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	6	2.145234755	0.649266863	2.794501619	6.068883184	1.967275723	8.036158907	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	7	2.292619505	0.764566234	3.057185739	3.317487731	1.651361274	4.968849005	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	8	1.153241618	0.64151226	1.794753878	0.213559171	4.414057458	4.627616629	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	9	1.0899264	0.518466639	1.608393039	2.162161246	2.048119753	4.210280999	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	10	0.757497834	0.790738902	1.548236736	0.599617839	3.660210044	4.259827883	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	11	0.924964633	0.176164627	1.10112926	0.728118831	1.46297002	2.191088851	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	12	0.716934938	0.227001798	0.943936737	0.69286511	1.010018979	1.702884089	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	13	2.620699427	1.663205328	4.283904755	0.126731568	11.39872941	11.52546098	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	14	3.682729193	1.503751437	5.18648063	0.375380226	9.136128224	9.511508449	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	15	2.554256344	0.797266198	3.351522542	1.620152822	6.369096961	7.989249783	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	16	1.767709797	0.566576311	2.334286108	0.304629462	4.467752394	4.772381856	8/2/13 at 12pm	8/16/13 at 12pm	336	14
