year	plothalfid	plotid	site	rep	inv	depth	nhi	noi	toti	ammonifd	nitrifd	minzd	soilmoi	som
2011	32	16	G13	D	N	F	0.6824	0.1266	0.809	-0.0008	0.0025	0.0018	12.6316	4.2169
2012	26	13	G13	A	N	B	2.7087	1.6646	4.3733	-0.0286	-0.0056	-0.0341	14.0562	4.2056
2012	36	18	K7	B	N	B	2.2746	3.1644	5.4389	0.0301	-0.0039	0.0262	17.316	4.1885
2013	15	8	CEB	B	I	T	1.95	1.0429	2.9929	-0.0626	0.3368	0.2742	12.5906	4.1451
2011	2	1	G2	A	N	F	1.5433	2.3788	3.9221	-0.0008	-0.0011	-0.0018	10.0287	4.1401
2011	6	3	G2	C	N	F	1.1685	2.4602	3.6288	0.0006	0.0013	0.0019	9.6667	4.059
2013	21	11	G48	C	I	B	1.4971	0.6257	2.1229	0.0728	-0.0063	0.0665	12.4287	4.0453
2013	16	8	CEB	B	N	B	1.7677	0.5666	2.3343	-0.1045	0.2787	0.1741	12.3267	4.0422
2013	28	14	G13	B	N	B	2.8762	0.8659	3.7421	-0.1122	0.2705	0.1583	18.7817	4
2012	15	8	CEB	B	I	T	2.2785	2.5944	4.8729	-0.0782	0.0839	0.0057	14.9502	3.9063
2012	27	14	G13	B	I	B	1.9593	1.573	3.5323	NA	0.1059	0.0128	20.9231	3.8911
2013	19	10	G48	B	I	B	4.741	1.808	6.549	-0.1441	0.1585	0.0144	19.0899	3.8911
2012	8	4	LL	A	N	B	2.0769	1.1561	3.233	-0.0665	0.0262	-0.0403	7.6159	3.5842
2011	33	17	K7	A	I	F	1.5992	3.3356	4.9348	-0.0022	0.0097	0.0075	14.0056	3.5831
2012	23	12	G48	D	I	B	1.3879	0.5364	1.9243	-0.0416	0.0157	-0.0259	10.757	3.5714
2011	18	9	CEB	C	N	F	0.7776	1.1526	1.9301	0	0.0073	0.0073	7.0539	3.5714
2013	6	3	G2	C	N	B	2.1452	0.6493	2.7945	0.2803	0.0941	0.3744	12.7652	3.5521
2012	6	3	G2	C	N	B	1.8128	2.5169	4.3297	0.3187	-0.0061	0.3126	6.5789	3.5211
2011	34	17	K7	A	N	F	2.3199	1.0734	3.3933	0.0008	0.0112	0.0121	12.8676	3.3755
2011	3	2	G2	B	I	F	0.8976	2.5598	3.4573	0	-0.0008	-0.0008	13.3333	3.3654
2013	32	16	G13	D	N	T	3.1769	2.4979	5.6748	-0.0219	0.1252	0.1033	11.2566	3.3506
2012	10	5	LL	B	N	B	6.49	1.8617	8.3517	0.0503	0.1221	0.1724	8.7786	3.3473
2011	35	18	K7	B	I	F	1.5789	0.9851	2.564	0.0001	0.0048	0.0049	9.7744	3.3333
2013	18	9	CEB	C	N	B	3.1081	0.3511	3.4592	-0.213	0.0579	-0.1551	16.6099	3.3122
2013	25	13	G13	A	I	B	3.7943	1.5205	5.3148	-0.0783	0.0174	-0.0609	19.3955	3.2812
2011	9	5	LL	B	I	F	0.71	2.2416	2.9516	-0.0001	0.0062	0.0061	13.3858	3.1818
2011	4	2	G2	B	N	F	0.8709	1.7182	2.589	0	0.0002	0.0002	9.6774	3.1746
2013	20	10	G48	B	N	B	2.7923	3.0856	5.8779	-0.1761	0.2988	0.1227	14.2125	3.1343
2012	18	9	CEB	C	N	B	1.0714	1.6853	2.7566	-0.0163	-0.0048	-0.0211	11.284	3.0702
2013	36	18	K7	B	N	B	2.0362	1.612	3.6482	-0.096	0.056	-0.04	17.3065	3.0561
2011	15	8	CEB	B	I	F	0.8316	1.8716	2.7033	-0.0011	0.0044	0.0033	9.1743	3.0303
2013	8	4	LL	A	N	B	1.1532	0.6415	1.7948	-0.0671	0.2695	0.2023	14.0543	2.9547
