"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"nat"	8.73
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"nat"	1.12
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"nat"	2.93
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"nat"	17.32
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"nat"	4.07
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"nat"	5.03
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"nat"	19.08
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"nat"	9.57
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"nat"	9.66
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"nat"	45.94
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"nat"	4.93
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"nat"	5.84
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"nat"	2.42
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"nat"	2.99
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"nat"	52.42
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"nat"	43.61
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"nat"	2.37
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"nat"	0.83
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"nat"	7.45
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"nat"	5.94
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"nat"	0.24
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"nat"	1.4
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"nat"	8.46
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"nat"	4.51
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"nat"	0.79
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"nat"	18.85
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"nat"	0.3
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"nat"	1.23
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"nat"	0.03
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"nat"	0.81
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"nat"	0.03
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"nat"	0.08
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"nat"	0.13
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"nat"	0.08
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"nat"	16.93
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"nat"	19.05
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"nat"	4.4
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"nat"	0.28
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"nat"	0.48
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"nat"	13.41
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"nat"	5.44
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"nat"	10.27
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"nat"	42.62
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"nat"	15.76
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"nat"	39.2
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"nat"	25.57
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"nat"	2.04
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"nat"	6.04
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"nat"	0.93
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"nat"	0.37
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"nat"	9.43
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"nat"	28.08
