"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"depth"	"variable"	"value"
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"noi"	1.0818
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"noi"	2.5348
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"noi"	2.136
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"noi"	2.8603
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"noi"	2.0835
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"noi"	2.5637
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"noi"	4.2473
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"noi"	3.1466
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"noi"	2.4767
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"F"	"noi"	2.709
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"noi"	2.181
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"noi"	2.7585
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"noi"	2.2926
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"noi"	0.6053
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"noi"	0.8716
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"noi"	2.0138
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"noi"	3.6024
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"noi"	6.0528
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"noi"	0.5985
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"noi"	4.6439
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"noi"	2.4348
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"noi"	2.3501
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"F"	"noi"	3.253
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"noi"	3.0276
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"noi"	2.1312
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"noi"	3.0603
"2011"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"F"	"noi"	1.186
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"noi"	3.0804
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"noi"	1.737
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"noi"	1.9018
"2011"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"F"	"noi"	2.9241
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"noi"	4.1128
"2011"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"F"	"noi"	1e-04
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"noi"	0.1566
"2011"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"F"	"noi"	1.1372
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"noi"	0.8271
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"noi"	1.688
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"T"	"noi"	0.8696
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"noi"	4.9277
"2011"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"F"	"noi"	1.7223
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"T"	"noi"	0.9322
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"noi"	2.7439
"2011"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"F"	"noi"	0.7296
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"T"	"noi"	2.3899
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"T"	"noi"	4.6615
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"noi"	2.3053
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"B"	"noi"	3.427
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"noi"	1.6366
"2011"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"F"	"noi"	0.6607
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"B"	"noi"	4.6401
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"F"	"noi"	1.8999
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"noi"	2.4318
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"F"	"noi"	2.8444
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"noi"	2.905
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"noi"	0.6282
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"noi"	1.6632
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"noi"	2.5639
